Metric Name, Min, Max, Mean, Median, P95
service_apdex-25, 0.069994, 1.517743, 0.541230, 0.492475, 1.040717
service_apdex-26, 0.067312, 1.496636, 0.457095, 0.366941, 1.120858
service_apdex-27, 0.031006, 1.280923, 0.505094, 0.467830, 1.078207
service_apdex-28, 0.079153, 1.517550, 0.493347, 0.420636, 1.272204
service_apdex-29, 0.111252, 1.522963, 0.463940, 0.424955, 0.813407
service_apdex-30, 0.098366, 1.015882, 0.452977, 0.404688, 0.846064
service_apdex-31, 0.096547, 1.595130, 0.500350, 0.436906, 0.815119
service_sidecar_internal_req_latency_nanos-0, 0.146592, 1.571524, 0.519357, 0.420115, 1.159115
service_sidecar_internal_req_latency_nanos-1, 0.079590, 1.356772, 0.531243, 0.487804, 1.153963
service_sidecar_internal_req_latency_nanos-2, 0.121031, 1.545909, 0.529455, 0.518438, 1.210433
service_sidecar_internal_req_latency_nanos-3, 0.135058, 0.775485, 0.437227, 0.421456, 0.759013
service_sidecar_internal_req_latency_nanos-4, 0.100676, 1.274501, 0.467551, 0.434519, 0.874498
service_sidecar_internal_req_latency_nanos-5, 0.065485, 1.538333, 0.552278, 0.478585, 1.313196
service_sidecar_internal_req_latency_nanos-6, 0.096106, 1.539214, 0.460191, 0.419754, 0.940522
service_sidecar_internal_req_latency_nanos-7, 0.131047, 1.065468, 0.447875, 0.450307, 0.847897
service_sidecar_internal_req_latency_nanos-8, 0.089234, 1.140674, 0.459562, 0.408484, 0.916864
service_sidecar_internal_req_latency_nanos-9, 0.119957, 0.865048, 0.443796, 0.424175, 0.789622
service_sidecar_internal_req_latency_nanos-10, 0.171997, 1.552474, 0.491234, 0.438544, 0.815786
service_sidecar_internal_req_latency_nanos-11, 0.173946, 1.552586, 0.558754, 0.512693, 0.853839
service_sidecar_internal_req_latency_nanos-12, 0.060593, 0.953075, 0.518659, 0.539657, 0.874078
service_sidecar_internal_req_latency_nanos-13, 0.123362, 1.414593, 0.416877, 0.326463, 0.779346
service_sidecar_internal_req_latency_nanos-14, 0.130869, 1.305271, 0.516665, 0.478378, 1.033815
service_sidecar_internal_req_latency_nanos-15, 0.089883, 1.288228, 0.484914, 0.457643, 0.835757
service_sidecar_internal_req_latency_nanos-16, 0.165008, 1.502707, 0.505138, 0.451018, 0.889546
